"container","type","source","destination","rw","class"
"gsentinel_redis_precanary_lab","volume","/var/lib/docker/volumes/cf209b9004adcb0b0d94cf6432af022b3953c52f5d0d1ed6d4186b9df8679696/_data","/data","True","runtime data"
"gs_frontend","bind","E:\GSentinelHealthOS\MB-Chat\data","/app/artifacts/mb-chat-learning","True","code/config-risk"
"gs_brain","bind","/run/desktop/mnt/host/e/GSentinelHealthOS/MB-Chat/data","/app/artifacts/mb-chat-learning","True","code/config-risk"
"gs_brain","volume","/var/lib/docker/volumes/gsentinelhealthos_uploads_data/_data","/data/uploads","True","uploads"
"gs_api","volume","/var/lib/docker/volumes/gsentinelhealthos_uploads_data/_data","/data/uploads","True","uploads"
"gs_redis_sentinel_1","volume","/var/lib/docker/volumes/fd71a40b8a3b609282459400207ab018f42a4fb8a7352ec47496b53384e058af/_data","/data","True","runtime data"
"gs_redis_sentinel_1","bind","E:\GSentinelHealthOS\broker\sentinel.conf","/usr/local/etc/redis/sentinel.conf","False","runtime data"
"gs_redis_replica","volume","/var/lib/docker/volumes/gsentinelhealthos_redis_replica_data/_data","/data","True","runtime data db/cache"
"gs_redis_replica","bind","/run/desktop/mnt/host/e/GSentinelHealthOS/broker/redis.conf","/usr/local/etc/redis/redis.conf","False","runtime data db/cache"
"gs_db","bind","E:\GSentinelHealthOS\database\init-multiple-dbs.sql","/docker-entrypoint-initdb.d/init.sql","False","runtime data db/cache"
"gs_db","volume","/var/lib/docker/volumes/gsentinelhealthos_postgres_data/_data","/var/lib/postgresql/data","True","runtime data db/cache"
"gs_redis_master","volume","/var/lib/docker/volumes/gsentinelhealthos_redis_master_data/_data","/data","True","runtime data db/cache"
"gs_redis_master","bind","/run/desktop/mnt/host/e/GSentinelHealthOS/broker/redis.conf","/usr/local/etc/redis/redis.conf","False","runtime data db/cache"
"gs_panel_admin","volume","/var/lib/docker/volumes/gsentinelhealthos_panel_admin_runtime/_data","/app/.runtime","True","runtime data"
"gs_grafana","bind","/run/desktop/mnt/host/e/GSentinelHealthOS/observability/grafana/provisioning","/etc/grafana/provisioning","False","logs/observability"
"gs_grafana","volume","/var/lib/docker/volumes/gsentinelhealthos_grafana_data/_data","/var/lib/grafana","True","logs/observability"
"gs_promtail","bind","/var/lib/docker/containers","/var/lib/docker/containers","False","runtime data"
"gs_promtail","bind","/var/run/docker.sock","/var/run/docker.sock","False","runtime data"
"gs_promtail","bind","E:\GSentinelHealthOS\observability\promtail-config.yml","/etc/promtail/promtail-config.yml","False","logs/observability"
"gs_outbox_scheduler","bind","E:\GSentinelHealthOS\scripts","/app/scripts","False","runtime data"
"gs_gateway","volume","/var/lib/docker/volumes/gsentinelhealthos_uploads_data/_data","/data/uploads","True","uploads"
"gs_loki","bind","E:\GSentinelHealthOS\observability\loki-config.yml","/etc/loki/loki-config.yml","False","logs/observability"
"gs_loki","volume","/var/lib/docker/volumes/gsentinelhealthos_loki_data/_data","/loki","True","logs/observability"
"gs_prometheus","bind","E:\GSentinelHealthOS\observability\prometheus.yml","/etc/prometheus/prometheus.yml","False","logs/observability"
"gs_prometheus","volume","/var/lib/docker/volumes/gsentinelhealthos_prometheus_data/_data","/prometheus","True","logs/observability"
"gs_redis_sentinel_2","volume","/var/lib/docker/volumes/d6e03b8abee05a2a5f74fe3b6ff21f7886e736c2fbdaddf0220e04c8995aac6a/_data","/data","True","runtime data"
"gs_redis_sentinel_2","bind","E:\GSentinelHealthOS\broker\sentinel.conf","/usr/local/etc/redis/sentinel.conf","False","runtime data"
"gs_redis_sentinel_3","bind","E:\GSentinelHealthOS\broker\sentinel.conf","/usr/local/etc/redis/sentinel.conf","False","runtime data"
"gs_redis_sentinel_3","volume","/var/lib/docker/volumes/703c697e74cc60a206942050f3e49502f6aa67f93cf94f4c77cc7b8da1196aa9/_data","/data","True","runtime data"
