"container","user","command"
"gs_frontend","nextjs","docker-entrypoint.sh node server.js"
"gs_brain","appuser","python brain/main.py"
"gs_api","appuser","uvicorn api.app.main:app --host 0.0.0.0 --port 8000"
"gs_panel_admin","nextjs","docker-entrypoint.sh node server.js"
"gs_outbox_scheduler","appuser","python scripts/run_outbox_scheduler.py"
"gs_gateway","appuser","uvicorn whatsapp_gateway.app.main:app --host 0.0.0.0 --port 8002"
"gs_nlg_service","appuser","uvicorn services.nlg_service.main:app --host 0.0.0.0 --port 8013 --workers 1"
"gs_dialogue_engine","appuser","uvicorn services.dialogue_engine.main:app --host 0.0.0.0 --port 8010 --workers 1"
"gs_booking_worker_1","appuser","python -m api.app.booking_queue_worker_main"
"gs_inference_service","appuser","uvicorn services.inference_service.main:app --host 0.0.0.0 --port 8011 --workers 1"
"gs_decision_service","appuser","uvicorn services.decision_service.main:app --host 0.0.0.0 --port 8012 --workers 1"
"gs_booking_worker_0","appuser","python -m api.app.booking_queue_worker_main"
