hour_of_day,day_of_week,day_of_month,month,time_since_last_min,time_since_last_normalized,incidents_last_1h,incidents_last_24h,incidents_last_7d,incidents_1h_normalized,incidents_24h_normalized,incidents_7d_normalized,rolling_frequency,logs_count,metrics_count,has_data,logs_count_normalized,metrics_count_normalized,success_rate_last_10,failure_rate_last_10,success_rate_today,action_historical_success_rate,type_action_success_rate,last_action_success,retry_count_1h,retry_count_normalized,escalation_flag,action_effectiveness_score,incident_type_encoded,source_encoded,original_type_encoded,diagnosis_code_encoded,strategy_encoded,severity_encoded,action_type_encoded,source_category_encoded,last_action_taken_encoded
9,1,7,4,22.0,0.015277777777777777,0,0,0,0.0,0.0,0.0,0.0,5,4,1,0.1,0.08,0.7,0.30000000000000004,0.5675675675675675,0.5714285714285714,0.5,0,1,0.2,0,0.424,0,0,0,2,0,2,0,0,2
3,0,6,4,16.0,0.011111111111111112,3,22,22,0.3,1.0,0.22,1.0,1,4,1,0.02,0.08,0.8,0.19999999999999996,0.8181818181818182,0.8181818181818182,0.8181818181818182,1,3,0.6,0,0.6807272727272727,1,1,3,3,2,1,0,1,2
14,0,6,4,17.0,0.011805555555555555,2,5,5,0.2,0.25,0.05,0.5,10,4,1,0.2,0.08,0.6,0.4,0.6923076923076923,0.5,0.5,1,1,0.2,0,0.362,3,3,2,1,3,0,0,3,2
12,1,7,4,14.0,0.009722222222222222,3,10,10,0.3,0.5,0.1,1.0,9,4,1,0.18,0.08,0.5,0.5,0.5616438356164384,0.5294117647058824,0.5,0,0,0.0,0,0.42458823529411766,0,0,0,2,0,1,0,0,3
13,1,7,4,7.0,0.004861111111111111,5,15,15,0.5,0.75,0.15,1.0,5,4,1,0.1,0.08,0.8,0.19999999999999996,0.5866666666666667,0.6363636363636364,0.6666666666666666,1,0,0.0,0,0.5294545454545454,0,0,0,2,0,1,0,0,3
17,1,7,4,15.0,0.010416666666666666,3,29,29,0.3,1.0,0.29,1.0,6,4,1,0.12,0.08,0.6,0.4,0.5866666666666667,0.6285714285714286,0.6428571428571429,1,0,0.0,0,0.572,0,0,0,2,0,1,0,0,3
10,1,7,4,18.0,0.0125,2,4,4,0.2,0.2,0.04,0.4,9,4,1,0.18,0.08,0.4,0.6,0.547945205479452,0.45454545454545453,0.25,0,0,0.0,0,0.3481818181818182,0,0,0,2,0,3,0,0,3
17,0,6,4,21.0,0.014583333333333334,2,12,12,0.2,0.6,0.12,1.0,8,4,1,0.16,0.08,0.7,0.30000000000000004,0.6805555555555556,0.6,0.6,0,0,0.0,0,0.45599999999999996,3,3,2,1,3,0,0,3,1
20,2,8,4,39.0,0.027083333333333334,1,35,35,0.1,1.0,0.35,1.0,12,4,1,0.24,0.08,0.3,0.7,0.44642857142857145,0.35294117647058826,0.3225806451612903,0,1,0.2,1,0.3190588235294118,2,2,1,0,1,1,1,2,2
20,1,7,4,18.0,0.0125,2,38,38,0.2,1.0,0.38,1.0,9,4,1,0.18,0.08,0.5,0.5,0.5789473684210527,0.5909090909090909,0.5945945945945946,0,0,0.0,0,0.5696363636363636,0,0,0,2,0,1,0,0,3
